Serial,file,document_type,title,theme,year,link,Summary
2055,2055_document.pdf,Presentation,ExCo membership for 2019 & 2020,Corporate Strategy,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2055_document.pdf,"The document lists executive committee members for 2019 and 2020, featuring CEOs, presidents, chairmen, and directors from major corporations such as Olam International, Unilever, Toyota, Microsoft, Shell, NestlÃ©, Banco Santander, and others, highlighting global leadership roles across industries including technology, petrochemicals, automotive, and consumer goods in the global market today."
2056,2056_document.pdf,Guide,Explore the Disclosure Recommendations,Reporting & Disclosure,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2056_document.pdf,"The document outlines the TPT Disclosure Framework, detailing strategic ambition, implementation, engagement, metrics, and governance for climate transition plans. It explains disclosure elements, sub-elements, and recommendations, including objectives, targets, stakeholder impacts, external benchmarks, trade-offs, and business model changes, while acknowledging evolving practices and providing guidance for preparers and users today"
2057,2057_document.pdf,Report,Exponential Roadmap for Natural Climate Solutions,Nature,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2057_document.pdf,"Exponential Roadmap for Natural Climate Solutions outlines a scienceâ€‘based plan to achieve netâ€‘zero land emissions by 2030, 5 Gt sink by 2040, and 10 Gt sink by 2050, through eight action tracks that protect, manage, and restore forests, wetlands, grasslands, and working lands, while engaging farmers, Indigenous peoples, policymakers, and financiers today."
2058,2058_document.pdf,Strategy Document,"Farm to Fork Strategy: For a fair, healthy and environmentally-friendly food system",Food & Agriculture,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2058_document.pdf,"EU Farm to Fork Strategy aims to transform food systems into climateâ€‘neutral, healthy, and equitable chains by 2050, linking production, processing, and consumption with sustainability goals. It calls for reduced pesticide use, nutrient management, carbon farming, animal welfare, and organic promotion, while ensuring food security, affordability, and global standard setting."
2059,2059_document.pdf,Research report,Laying the Groundwork: Mapping and implementing accountability tactics for transforming the built environment in Europe,Governance,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2059_document.pdf,"Report maps accountability actors, mechanisms and 32 tactics for transforming Europeâ€™s built environment, emphasizing transparency, reputation, sanctions. It ranks tactics by transferability, highlights trade union and capital provider pressure, and offers case studies on disclosure, selfâ€‘governance, and incentives. Findings guide organisations to prioritize fruit and actions for climate and social equity."
2060,2060_document.pdf,Statement,Financial sector a project of the WBCSD,Sustainable Finance,2002,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2060_document.pdf,"Financial sector leaders from WBCSD companies affirm sustainable development integration, citing economic, ecological, and social benefits. They commit to riskâ€‘aware, transparent practices, clientâ€‘focused responsibility, and industry dialogue. The report outlines shared goals, transparency urgency, and collaborative action, urging stakeholders to join the journey toward longâ€‘term value and societal progress today"
2062,2062_document.pdf,Brief,Forests at Work: A New Model for Local Land Protection,Forestry,2011,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2062_document.pdf,"The brief proposes a working forest acquisition model for southern U.S. forests, suggesting public entities acquire forests via fee simple or conservation easements, generate revenue from timber, recreation, carbon, and other ecosystem services, and use citizen advisory boards to manage locally, thereby increasing public protection while maintaining productive use today"
2063,2063_document.pdf,Brief,Engagement of indirect suppliers regarding global pressure for traceable deforestation and conversion-free products.,Supply Chains,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2063_document.pdf,"The Soft Commodities Forum reports progress in achieving deforestationâ€‘free soy traceability in Brazilâ€™s Cerrado, auditing direct suppliers and engaging indirect ones such as Buriti ComÃ©rcio and Everest Agro. A threeâ€‘step process informs, assesses, and coâ€‘creates action plans, while EU legislation drives global commitment"
2064,2064_document.pdf,Brief,"A Global Apex Goal for Nature   For Nature, For People",Nature,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2064_document.pdf,"Global apex goal for nature proposes zero net loss from 2020, net positive by 2030, full recovery by 2050, driven by science and urgent ecological crisis. It calls for measurable targets, local translation, protection of key habitats, restoration actions, and equitable transition, aligning with UN CBD vision and climate goals."
2065,2065_document.pdf,Report,Global Green Skills Report 2023,Decarbonisation,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2065_document.pdf,"LinkedInâ€™s Global Green Skills Report 2023 examines worldwide workforce trends, revealing that only one in eight workers possess green skills while demand grows faster than supply. The study highlights resilience of green hiring amid economic uncertainty, growth in energy, transportation, finance, and calls for policy action to accelerate green talent"
2066,2066_document.pdf,Brief,The GRI Perspective Issue 3 - 22 February 2022,Reporting & Disclosure,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2066_document.pdf,"ISSBâ€™s climate standard sparks debate over double materiality, questioning whether impact reporting will match EU standards. GRI champions multiâ€‘stakeholder impact disclosure, contrasting IFRSâ€™s investorâ€‘centric financial materiality. The document explains materialityâ€™s ambiguity, dynamic and nested concepts, and urges global adoption of GRI Standards to unify financial and impact reporting for all"
2067,2067_document.pdf,Guide,"Water Reporting Good Practice Guide, 2nd Edition",Water,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2067_document.pdf,"Water Reporting Good Practice Guide 2nd Edition outlines ICMM membersâ€™ minimum commitments, siteâ€‘level accounting, external reporting guidance, and mapping to global standards. It explains operational water withdrawals, consumptive use, discharges, and"
2068,2068_document.pdf,Guide,CLIMATE CHANGE ADAPTATION How to embark your company upon its climate change adaptation journey?,Adaptation & Resilience,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2068_document.pdf,"This guide, produced by ADEME and EpE, presents 30 French company case studies illustrating climate change adaptation strategies. It outlines triggers, actions, risk assessment, strategy development, monitoring, and evaluation, emphasizing integrated mitigation and adaptation. The document offers practical tools, methodology, and sectorâ€‘specific examples to help firms embed adaptation into operations."
2069,2069_document.pdf,Guide,"Guiding Principles on Business and Human Rights: Implementing the United Nations â€œProtect, Respect and Remedyâ€ Framework",Human Rights,2011,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2069_document.pdf,"These Guiding Principles outline state duties to protect human rights, corporate responsibilities to respect them, and access to remedy, emphasizing prevention, enforcement, due diligence, and nonâ€‘discriminatory measures. They apply to all states and businesses, urging clear expectations, effective policies, and transparent accountability to achieve results for affected individuals and communities."
2070,2070_document.pdf,Action Plan,RACE TO NET-ZERO   CLIMATE TRANSITION PLAN,Decarbonisation,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2070_document.pdf,Henkel commits to a comprehensive Climate Transition Plan aimed at achieving netâ€‘zero by 2045 through scienceâ€‘based targets reducing scope 1 and 2 emissions by 42% by 2030 and scope 3 by 30% by 2030 while addressing indirect useâ€‘phase emissions beyond the value chain via product innovation and circularity to transform
2071,2071_document.pdf,Report,"Integrity Matters: Net Zero Commitments by Businesses, Financial Institutions, Cities and Regions",Decarbonisation,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2071_document.pdf,"United Nations Highâ€‘Level Expert Group released a report on net zero commitments by businesses, financial institutions, cities and regions, outlining criteria,"
2073,2073_document.pdf,Sustainability Report,2024 Sustainability Report,Sustainable Production,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2073_document.pdf,"Hiltiâ€™s 2024 Sustainability Report outlines its purpose to make construction better, detailing a decarbonisation strategy, circular economy initiatives, workforce engagement, and stakeholder dialogue. It presents a double materiality assessment aligned with ESRS, Value2Society model, and governance structure, while highlighting achievements like EcoVadis Gold and lowâ€‘emission fleet transition and sustainability commitment."
2074,2074_document.pdf,Brief,Invasive Alien Species and Climate Change,Biodiversity,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2074_document.pdf,
2075,2075_document.pdf,Infographic,Building for a low-carbon future,Buildings,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2075_document.pdf,"Buildings account for 32% of global final energy use and 19% of GHG emissions, yet energy demand could double by 2050. Climate change"
2076,2076_document.pdf,Summary,"NestlÃ© income accelerator program Progress Report Summary, June 2025",Livelihoods,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2076_document.pdf,"NestlÃ©â€™s income accelerator program, evaluated by KIT Institute, reports 30â€‘month progress in CÃ´te dâ€™Ivoire and Ghana, showing increased cocoa yields, higher school enrollment, and improved household income. Simplified incentives focus on pruning and schooling, while VSLAs and agroforestry remain monitored, aiming to scale to 50,000 families by 2026 in 2025."
2077,2077_document.pdf,Research Report,Jobs 2030: Future of Work. Green Employment and Just Transition in the Future of Work,Labour,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2077_document.pdf,"Jobs 2030 explores the future of work, emphasizing green employment and fair transition. It outlines Spainâ€™s green economy, talent gaps, and inclusive policies on gender, disability, age, and digital skills. The initiative, led by ForÃ©tica with partners like ManpowerGroup, FundaciÃ³n ONCE, and PRISA, aims to guide companies toward sustainable, ethical employment practices today."
2078,2078_document.pdf,Report,Health and Wellbeing 2030. Exploring the scope of the Health Footprint of companies.,Health & Safety,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2078_document.pdf,"Salud y Bienestar 2030 explores corporate health footprints, outlining ForÃ©ticaâ€™s Action Group goals: business case, best practices, trend monitoring, and alliances. It reviews past editions linking ESG, COVID-19, and climate change, emphasizing employee, consumer, and supply chain health scopes. The report calls for resilient strategies to advance SDG 3 and growth."
2079,2079_document.pdf,Report,Tackling inequality: The need and opportunity for business action,Equity & Inclusion,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2079_document.pdf,"Business leaders must act on inequality, a systemic risk harming economies, societies, and climate goals. The Business Commission to Tackle Inequality outlines how corporate practices widen gaps, and proposes six action areas: climate, government support, essential services, human rights, value distribution, and job creation, urging shared prosperity for all world."
2080,2080_document.pdf,Research Paper,"Agriculture, Forestry and Other Land Use (AFOLU)",Land Use,2014,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2080_document.pdf,"This chapter reviews Agriculture, Forestry and Other Land Use (AFOLU) emissions, trends, mitigation options, and policy implications. It synthesizes global and regional GHG data, discusses supplyâ€‘side and demandâ€‘side measures, bioenergy impacts, barriers, coâ€‘benefits, and adaptation feedbacks, highlighting uncertainties and knowledge gaps for climate mitigation in future scenarios and policy design."
2081,2081_document.pdf,Infographic,ISM Sustainability Research,Supply Chains,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2081_document.pdf,"Sustainability strategy leadership, supply management, and executive involvement dominate corporate goals, with 63% of Câ€‘level executives prioritizing sustainability. A 2021 Institute for Supply Management survey of 550 respondents revealed 40% of firms use Excel for measurement, 42% maintain active programs, yet 60% ignore Tierâ€‘1 supplier goals, highlighting gaps in implementation."
2082,2082_document.pdf,Educational material,Nature and social aspects of climate-related risks and opportunities,Reporting & Disclosure,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2082_document.pdf,"ISSB released IFRS S1 and IFRS S2 standards, and this educational material"
2083,2083_document.pdf,Statement,Joint Statement from the International Water Stewardship Community: Strengthening Public-Private Collaboration to Accelerate Action on Water,Water,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2083_document.pdf,"WaterActionNowâ€™s joint statement urges governments to align policies with private sector commitments, proposing six key solutions to accelerate water security. It outlines fundamentals such as strong foundations, better valuation, open data, innovation, scalable funding, and collective action, aiming to unlock exponential improvements and achieve SDG 6 by 2030 for all communities"
2084,2084_document.pdf,Report,Innovation License: Breakthrough Strategies for Social Impact,Social,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2084_document.pdf,"The report examines how global companies can create social impact through innovation, outlining five strategies for integrating social value into business models. It discusses stakeholder expectations, ESG investment trends, and case studies of successful ventures, while highlighting challenges, risks, and the need for collaboration and measurement to achieve sustainable growth."
2087,2087_document.pdf,Thought Piece,Global Carbon Market: A discussion on linking various approaches to create a global market,Decarbonisation,2007,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2087_document.pdf,"The WBCSD document outlines a global carbon market framework, proposing a 50â€‘year emissions trajectory, national and sectoral capâ€‘andâ€‘trade systems, and a project mechanism using CERs to link diverse national approaches. It emphasizes multilateral recognition, uniform monitoring, and an oversight body to manage allowances, ensuring flexible, costâ€‘effective mitigation toward 2050 goals."
2089,2089_document.pdf,Brief,Mandatory Human Rights and Environmental Due Diligence: What an EU-level law will mean for business,Human Rights,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2089_document.pdf,"The 2021 briefing outlines the EU's proposed mandatory human rights and environmental due diligence (mHREDD) law, detailing its scope, potential impacts on EUâ€‘domiciled and global valueâ€‘chain companies, alignment with existing standards, enforcement mechanisms, and consultation opportunities for businesses to shape clear, practical obligations and promote transparency, accountability, and meaningful outcomes."
2090,2090_document.pdf,Factsheet,MOBILITY SURVEY   SUSTAINABLE CORPORATE MOBILITY USE CASES DESCRIPTION,Mobility,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2090_document.pdf,Mobility surveys gather employee commuting data
2092,2092_document.pdf,Strategy Document,National Hydrogen Strategy 2024,Energy,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2092_document.pdf,"Australiaâ€™s 2024 National Hydrogen Strategy outlines a roadmap to become a global hydrogen leader, targeting costâ€‘competitive renewable hydrogen production,"
2093,2093_document.pdf,Report,Supporting a just transition toward a regenerative food system DECEMBER 2021 NestlÃ©â€™s human rights framework and roadmap,Human Rights,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2093_document.pdf,"NestlÃ© outlines its human rights framework and roadmap for a regenerative food system, emphasizing due diligence, governance, policies, engagement, partnerships, and transparency. The document details history, training, impact assessments, action plans for ten salient issues, and commitments to fair livelihoods, child labor elimination, and climateâ€‘aligned, just transitions for global communities."
2094,2094_document.pdf,Roadmap,"NestlÃ©â€™s Net Zero Roadmap: Accelerate, Transform, Regenerate",Decarbonisation,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2094_document.pdf,"NestlÃ© outlines a 2050 netâ€‘zero plan, targeting 50% greenhouseâ€‘gas reductions by 2030 from a 2018 baseline. Emphasis lies on supplyâ€‘chain emissions, especially dairy, livestock, soil, and forests, with regenerative agriculture, renewable energy, packaging innovation, and natureâ€‘based removals. The roadmap includes scienceâ€‘based targets, stakeholder collaboration, and transparent reporting to support global efforts."
2095,2095_document.pdf,Book,"Plantations for people, planet and prosperity: 10 years of the New Generation Plantations platform 2007â€“2017",Forestry,2017,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2095_document.pdf,"New Generation Plantations documents tenâ€‘year progress, detailing concept development, global collaboration, and case studies on restoration, water stewardship, socioâ€‘economic benefits, and climate mitigation. It highlights shared learning, technological advances, and future agenda alignment with SDGs and Paris Agreement, while showcasing practical examples from Brazil, South Africa, Chile, China, and beyond."
2096,2096_document.pdf,Reporting Criteria Document,Reporting Criteria for Novartis in Society Integrated Report 2024,Reporting & Disclosure,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2096_document.pdf,"This document outlines Novartisâ€™ ESG reporting criteria for the 2024 Integrated Report, detailing definitions, methodologies, data sources, and assumptions for"
2097,2097_document.pdf,Report,Unilever Global Foods & Ice cream portfolio assessment against 6 Nutrient Profiling Models (NPMs) and own NPM,Food & Agriculture,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2097_document.pdf,"The report presents annual nutrient profile model compliance data across 2021â€‘2024, showing percentage of products meeting Nonâ€‘HFSS, A+B >3.5, Chile warning, T1+T2, HCS criteria, and overall compliance for each country. Global trends indicate increasing compliance, especially in India and Belgium, while many regions lag behind in 2024 data analysis summary."
2098,2098_document.pdf,Annual Report,"Olam Group Limited Annual Report 2024 Unlocking value, exploring new horizons",Food & Agriculture,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2098_document.pdf,"Olam Group Limited Annual Report 2024 outlines the companyâ€™s global food and agriculture operations, sustainability commitments, and fiveâ€‘year reorganisation into three purposeâ€‘led operating groups. It details resilient financial performance amid geopolitical and macroeconomic challenges, highlights ofiâ€™s doubleâ€‘digit EBIT growth, and the strategic sale of Olam Agri to SALIC for US$2.58 billion."
2100,2100_document.pdf,Conference Paper,PHYSIO-CHEMICAL ANALYSIS OF AIRBORNE TIRE WEAR PARTICLES,Pollution,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2100_document.pdf,"Researchers measured airborne tire wear particles during simulated road tests, finding low PM10 emissions (6â€“10 Âµg mâ»Â³) with bimodal size peaks at ~1 Âµm and 5â€“8 Âµm. Scanning and PIXE analyses identified tire-derived zinc and sulfur, while most fine particles originated from pavement. Overall, tire contribution to ambient PM10 is minimal in urban environments."
2101,2101_document.pdf,Press Release,"Press Release: Table Set for Octoberâ€™s UN Summit on Achieving Vital Targets, Goals of Global Biodiversity Plan",Biodiversity,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2101_document.pdf,"Secretariat of the Convention on Biological Diversity announced progress at its 9â€‘day SBI 4 meeting, setting the table for COP 16 talks on finance, highâ€‘tech biology, and Indigenous Peoplesâ€™ engagement. Governments agreed on $200 billion investment, reforming $500 billion harmful subsidies, and establishing subregional technical support centres to accelerate the Biodiversity Planâ€™s 23 action targets."
2102,2102_document.pdf,Strategy Document,Preserve Water for Life   Our Water Stewardship Strategy,Water,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2102_document.pdf,"Diageoâ€™s Water Stewardship Strategy outlines commitments to preserve water, improve efficiency, and achieve net positive impact by 2030. It details operational targets, supplyâ€‘chain responsibilities, community WASH initiatives, and partnership roles within global coalitions. The plan aligns with SDG6, climate risk management, and the Grainâ€‘toâ€‘Glass sustainability framework for sustainable future development."
2104,2104_document.pdf,Press Release,Reckitt to be Hygiene Partner for COP26,Climate,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2104_document.pdf,"Reckitt announced partnership with UK Government as COP26 Hygiene Partner, committing to scienceâ€‘based climate targets, carbon neutrality by 2040, 100% renewable electricity by 2030, and providing Dettol products to protect against SARSâ€‘CoVâ€‘2. CEO Laxman Narasimhan highlighted hygieneâ€™s role in public health and climate action for the world and future generations."
2105,2105_document.pdf,Report,Principles for High-Integrity Insetting in the Land Sector,Land Use,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2105_document.pdf,"Principles for high-integrity insetting in the land sector outlines stakeholder-driven principles, opportunities, and challenges for sustainable land use. The report synthesizes input from diverse organizations, defines boundaries, and"
2106,2106_document.pdf,Brochure,"BUSINESS: ITâ€™S TIME TO ACT   DECENT WORK, MODERN SLAVERY & CHILD LABOUR",Human Rights,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2106_document.pdf,"Outlines business responsibilities to eradicate modern slavery and child labour, citing UN Guiding Principles, Sustainable Development Goal 8.7, and legal frameworks like the UK Modern Slavery Act. It recommends five steps: commitment, risk assessment, leverage identification, remediation, and prevention, urging transparency, policy dialogue, and stakeholder collaboration for change."
2107,2107_document.pdf,Annual Report,PLAY FASTER. FOREVER PLAY. Annual Report 2023,Corporate Strategy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2107_document.pdf,"Annual report outlines PUMAâ€™s 2023 performance, highlighting record revenue growth, brand elevation strategy, US and China market focus, sustainability progress, and supervisory board governance. CEO Arne Freundt discusses challenges, strategic priorities, and future outlook, while board emphasizes independence, remuneration review, and continued growth amid market headwinds for the future success."
2108,2108_document.pdf,Research Report,Biodiversity offsets and the mitigation hierarchy: a review of current application in the banking sector,Biodiversity,2010,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2108_document.pdf,"PwCâ€™s 2010 study reveals banks lack deep understanding of biodiversity mitigation hierarchy and offsets, relying mainly on projectâ€‘finance frameworks like Equator Principles. Most staff lack specialist expertise, leading to inconsistent risk management and limited portfolioâ€‘level assessment. Recommendations emphasize training, tool development, and broader integration of biodiversity considerations across banking products."
2109,2109_document.pdf,FAQ Document,GRI and the European Sustainability Reporting Standards (ESRS) Q&A,Reporting & Disclosure,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2109_document.pdf,"The document explains how GRI standards align with new European ESRS and CSRD requirements, detailing mapping guidance, avoiding double reporting, and reducing burden. It outlines GRIâ€™s collaboration with EFRAG and IFRS, clarifies materiality concepts, and describes CSRD scope, timelines, and benefits for EU and nonâ€‘EU companies using GRI"
2110,2110_document.pdf,Report,â€œCore Benefitsâ€ Standards and the impact of Natural Climate Solutions (NCS) on sustainable development,Nature,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2110_document.pdf,"Natural Climate Solutions (NCS) are natureâ€‘based interventions that mitigate climate change and deliver core benefits such as biodiversity, climate adaptation, and community wellâ€‘being. The brief outlines how carbon standardsâ€”Gold Standard, VCS, SD VISta, CCBS, Plan Vivo, SustainCERT, and LandScaleâ€”measure and verify these benefits, providing a checklist for corporate due diligence today."
2111,2111_document.pdf,Framework Document,A Global Framework for Regenerative Agriculture,Food & Agriculture,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2111_document.pdf,"Regenerating Together presents a global framework guiding corporations toward regenerative agriculture, offering a fourâ€‘step processâ€”context analysis, outcome selection, practice adoption, and monitoringâ€”while emphasizing soil, water, biodiversity, climate, and farmer livelihoods. It incorporates stakeholder consultations, flexible implementation groups, and evidenceâ€‘based indicators to tailor actions to local contexts and improve environmental outcomes."
2113,2113_document.pdf,Framework Document,Regenerating Together: A global framework for regenerative agriculture,Food & Agriculture,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2113_document.pdf,The SAI Platformâ€™s Regenerating
2114,2114_document.pdf,Advisory Opinion,"Advisory Opinion AO - 32 /25 of May 29, 2025: Climate Emergency and Human Rights",Human Rights,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2114_document.pdf,"Interâ€‘American Court issued advisory opinion on climate emergency, interpreting American Convention obligations for Chile and Colombia. It examined greenhouse emissions"
2115,2115_document.pdf,Report,Making food systems work for people and planet UN Food Systems Summit +2 Report of the Secretary-General,Food & Agriculture,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2115_document.pdf,"UN Food Systems Summit +2 report reviews global progress, noting 101 country submissions and 126 national pathways. It highlights persistent food insecurity, rising hunger, and economic crises, urging transformative shifts across production, consumption, and disposal. The report urges multisectoral action to build resilient, equitable systems, accelerating SDG achievement for future"
2116,2116_document.pdf,Report,Accelerated Adoption of Hydrogen Fuel Cells: Policy and Regulatory Building Blocks,Decarbonisation,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2116_document.pdf,"Accelerated hydrogen adoption requires coordinated policy levers: national strategies, demand certainty reduction, infrastructure investment, R&D support, subsidies, and common standards. The report outlines building blocksâ€”designing strategies, reducing uncertainty, investing infrastructure, advancing research, accelerating deployment, and implementing codesâ€”to enable hydrogen fuel cells in transport, industry, and energy storage, driving netâ€‘zero goals."
2117,2117_document.pdf,Guide,"Social Life Cycle Metrics for Chemical Products A guideline by the chemical sector to assess and report on the social impact of chemical products, based on a life cycle approach",Social,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2117_document.pdf,"This guideline establishes a global framework for assessing and reporting social lifeâ€‘cycle metrics of chemical products, defining mandatory and optional social topics, reference scales, aggregation options, and peerâ€‘review procedures. It aligns with UNEP/SETAC and PRÃ© Sustainability standards, enabling companies to measure positive and negative social impacts across the value chain."
2118,2118_document.pdf,Report,Natural catastrophes: insured losses on trend to USD 145 billion in 2025,Risk & Compliance,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2118_document.pdf,"Swiss Re Instituteâ€™s 2025 report projects global insured natural catastrophe losses to reach USD 145 billion, with a 1â€‘inâ€‘10 chance of exceeding USD 300 billion. Primary perils drive peakâ€‘loss years, while secondary perils contribute steadily. Rising exposure, urbanisation, climate change and limited protection gaps underscore the need for adaptation and stronger reinsurance and resilience."
2119,2119_document.pdf,Summary,Sustainability at a Crossroads July 2025,Governance,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2119_document.pdf,"The 2025 report reveals experts view current sustainability practices as largely ineffective, with 90% calling for revision and 50% demanding radical overhaul. It highlights stalled progress, backlash, and declining faith in multilateral frameworks, while mapping highâ€‘impact actions and actor responsibilities for a 2030 roadmap toward a just, lowâ€‘carbon transition today."
2120,2120_document.pdf,Research report,Sustainability at a Crossroads,Sustainable Finance,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2120_document.pdf,"Survey of 844 sustainability experts across 72 countries reveals most believe current approaches need radical revision, with half rating progress as poor. Respondents highlight declining trust in NGOs, UN, and SDGs, but see actions in corporate strategy, finance, and policy. The report calls for bold changes to achieve 2030 goals."
2122,2122_document.pdf,Report,Embedding Just Transition into Corporate Climate Action Strategies,Social,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2122_document.pdf,"ERMâ€™s 2024 report outlines how corporations can embed just transition into climate strategies, linking netâ€‘zero goals with frameworks such as TCFD, TPT, TNFD, and CSD"
2123,2123_document.pdf,Programme Preview,Draft programme overview Second Stocktake of the UN Food Systems Summit (UNFSS+4),Food & Agriculture,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2123_document.pdf,"UN Food Systems Summit 2025 in Addis Ababa presents a twoâ€‘day programme featuring plenaries, ministerial roundtables, highâ€‘level panels, investment dialogues, and stakeholder action sessions. It focuses on policy integration, inclusive governance, research investment, and publicâ€‘private partnerships to accelerate foodâ€‘system transformation toward SDG 2030, with countryâ€‘led pitches and SME showcases today"
2124,2124_document.pdf,Information Note,Second United Nations Food Systems Summit Stocktake (UNFSS+4),Food & Agriculture,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2124_document.pdf,"Second United Nations Food Systems Summit Stocktake (UNFSS+4) in Addis Ababa, Ethiopia, July 27â€‘29 2025, features Action Day, plenary sessions, ministerial roundtables, side events, and investment dialogues. Delegations include member states, UN entities, NGOs, private sector, and media, with registration, accreditation, and security protocols detailed for participants, stakeholders, and observers."
2126,2126_document.pdf,Poster,VISION 2050 MacroVUÂ® Analytics,Sustainable Cities,2010,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2126_document.pdf,"Vision 2050 outlines a future where governance is transparent, inclusive, and subsidiarity-driven, guiding markets and global systems toward climate resilience, net-zero emissions, and equitable resource use. It emphasizes local empowerment, circular economies, and adaptive security, while redefining work, success, and education to foster sustainable societies that thrive within planetary limits."
2127,2127_document.pdf,Discussion Paper,Volumetric Water Benefit Accounting (VWBA): A Method for Implementing and Valuing Water Stewardship Activities,Water,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/2127_document.pdf,"Volumetric Water Benefit Accounting (VWBA) offers a standardized framework for companies to quantify, compare, and communicate volumetric water benefits from stewardship activities. It defines indicators, calculation methods, and a threeâ€‘step implementation process, linking projects to shared water challenges, SDG 6 targets, and corporate waterâ€‘balance commitments while highlighting limitations and opportunities for improvement."
